Original,Code,Office
4 0418 SUBA-KURIA,4 0418,SUBA-KURIA
2 0109 SUBUKIA,2 0109,SUBUKIA
2 0602 SUGUTA MAR MAR,2 0602,SUGUTA MAR MAR
2 0151 SULMAC,2 0151,SULMAC
9 0132 SULTAN HAMUD,9 0132,SULTAN HAMUD
4 0400 SUNA,4 0400,SUNA
4 0229 TABAKA,4 0229,TABAKA
70303 TAKABA,70303,TAKABA
9 0131 TALA,9 0131,TALA
3 0704 TAMBACH,3 0704,TAMBACH
8 0309 TAUSA,8 0309,TAUSA
8 0302 TAVETA,8 0302,TAVETA
9 0133 TAWA,9 0133,TAWA
3 0405 TENGES,3 0405,TENGES
0 1000 THIKA,0 1000,THIKA
1 0406 TIMAU,1 0406,TIMAU
2 0110 TIMBER MILLS,2 0110,TIMBER MILLS
3 0108 TIMBOROA,3 0108,TIMBOROA
5 0309 TIRIKI,5 0309,TIRIKI
3 0707 TOT,3 0707,TOT
9 0203 TULIA,9 0203,TULIA
6 0213 TUNYAI,6 0213,TUNYAI
3 0106 TURBO,3 0106,TURBO
4 0606 UGUNJA,4 0606,UGUNJA
8 0400 UKUNDA,8 0400,UKUNDA
4 0607 UKWALA,4 0607,UKWALA
0 0222 UPLANDS,0 0222,UPLANDS
4 0608 URANGA,4 0608,URANGA
4 0228 URIRI,4 0228,URIRI
4 0609 USENGE,4 0609,USENGE
5 0310 VIHIGA,5 0310,VIHIGA
8 0119 VIPINGO,8 0119,VIPINGO
8 0211 VITENGENI,8 0211,VITENGENI
8 0300 VOI,8 0300,VOI
6 0121 WACHORO,6 0121,WACHORO
7 0200 WAJIR,7 0200,WAJIR
2 0603 WAMBA,2 0603,WAMBA
9 0103 WAMUNYU,9 0103,WAMUNYU
0 0614 WANGIGE,0 0614,WANGIGE
1 0303 WANGURU,1 0303,WANGURU
2 0305 WANJOHI,2 0305,WANJOHI
8 0202 WATAMU,8 0202,WATAMU
5 0205 WEBUYE,5 0205,WEBUYE
3 0603 WEI-WEI,3 0603,WEI-WEI
8 0303 WERUGHA,8 0303,WERUGHA
4 0141 WINAM,4 0141,WINAM (KISUMU GPO EXTN.)
8 0504 WITU,8 0504,WITU
5 0311 WODANGA,5 0311,WODANGA
8 0304 WUNDANYI,8 0304,WUNDANYI
4 0610 YALA,4 0610,YALA
9 0134 YOANI,9 0134,YOANI
3 0214 ZIWA,3 0214,ZIWA
9 0213 ZOMBE,9 0213,ZOMBE
